OD600,Time,Strain
1.1099,8,pUC19
1.1027,8,pUC19
1.0779,8,pUC19
1.16808,8,pUC19-yfmO
1.2034,8,pUC19-yfmO
1.23522,8,pUC19-yfmO
1.21453,12,pUC19
1.23393,12,pUC19
1.27018,12,pUC19
1.33906,12,pUC19-yfmO
1.29429,12,pUC19-yfmO
1.35179,12,pUC19-yfmO
1.28203,16,pUC19
1.27613,16,pUC19
1.25497,16,pUC19
1.35323,16,pUC19-yfmO
1.29914,16,pUC19-yfmO
1.38644,16,pUC19-yfmO
1.27508,20,pUC19
1.27019,20,pUC19
1.30666,20,pUC19
1.3804,20,pUC19-yfmO
1.40872,20,pUC19-yfmO
1.42156,20,pUC19-yfmO
1.32438,24,pUC19
1.35359,24,pUC19
1.35224,24,pUC19
1.45035,24,pUC19-yfmO
1.50748,24,pUC19-yfmO
1.48215,24,pUC19-yfmO
